Reference,Quantity,Value,Footprint,Datasheet, MFG Part#, Description
"R61 R62 R63 ","3","R_0R","ScopefunPackagesLibrary:R_0805","","ERJ-6GEY0R00V","RES SMD ZERO OHM JUMPER 0805"
"R146 R147 R182 R66 R67 ","5","R_4k7","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF4701V","RES SMD 1% 1/10W 0603"
"R69 R70 R71 R72 R73 R74 R75 R76 R77 R78 R79 R80 ","12","R_470R_0.33W","ScopefunPackagesLibrary:R_0603","https://eu.mouser.com/datasheet/2/219/SG73P-1108936.pdf","SG73P1JTTD4700F","RES SMD 1% 1/3W 0603"
"R81 R82 R83 R84 ","4","R_0R","ScopefunPackagesLibrary:R_0603","","RC0603JR-070RL","RES SMD ZERO OHM JUMPER 0603"
"R89 R90 ","2","R_48.7R_0.25W","ScopefunPackagesLibrary:R_1206","https://industrial.panasonic.com/ww/products/resistors/chip-resistors/general-purpose-chip-resistors/precision-thick-film-chip-resistors/ERJ8ENF48R7V","ERJ-8ENF48R7V","RES SMD 1% 0.25W 1206"
"R93 R95 ","2","R_499k","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF4993V","RES SMD 1% 1/10W 0603"
"R106 R118 R166 R94 R96 ","5","R_22k","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF2202V","RES SMD 1% 1/10W 0603"
"RE1 RE2 RE8 RE9 ","4","AQY282SX","ScopefunPackagesLibrary:SOP-4","https://www.mouser.com/ds/2/315/panasonic_AQW,AQY280,282,284-1196946.pdf","AQY282SX","Solid State Relays - PCB Mount 60v 500mA SOP Form A Norm-Open"
"RE3 RE4 RE5 RE6 RE7 ","5","G6K-2F-Y-DC4.5","ScopefunPackagesLibrary:G6K-2F-Y","https://www.omron.com/ecb/products/pdf/en-g6k.pdf","G6K-2F-Y-DC4.5","Low Signal Relays - PCB Gullwing NoLatch 3.2 DPDT 4.5VDC 100mW"
"SLP1 SLP2 SLP3 ","3","SLP3-300-100-F","ScopefunPackagesLibrary:SLP3-300-100-F","http://www.mouser.com/ds/2/50/SLP3-XXX-XXX-X-345747.pdf","SLP3-300-100-F","Led Pipe for 0805 diode (Flat Face 3 mm)"
